"진해구","계","합계",42724,22565,9477,154,152,93,73,8,528,97982
"의령군","계","합계",9632,1981,656,71,143,16,26,5,40,13326
"함안군","계","합계",22384,6023,2768,81,298,105,70,2,292,32029
"창녕군","계","합계",22189,4333,2035,78,79,81,56,2,158,29543
"고성군","계","합계",19412,5123,1584,55,187,74,137,,446,24020
"남해군","계","합계",14172,4514,1182,29,235,381,10,2,309,21969
"하동군","계","합계",16269,4075,1264,42,234,87,20,4,122,21548
"산청군","계","합계",14825,2758,1324,50,167,25,27,3,128,13749
"함양군","계","합계",12389,4079,1518,59,223,37,28,10,86,19098
"거창군","계","합계",14894,7324,2273,43,547,29,68,11,145,33880
"합천군","계","합계",15144,3381,1005,166,529,14,36,,92,23307
"제주특별자치도","계","합계",136159,58258,46043,782,1058,732,275,,1113,338219
"제주시","계","합계",98886,41138,37514,502,592,626,221,,731,255163
"서귀포시","계","합계",37273,17120,8529,280,466,106,54,,382,83056
